id,class_key,name_ko,priority,target_images,available_images,aihub_names,match_scores,status,food_code,notes
71,pork_soup_rice,돼지국밥,P0,1000,530,굴국밥|황태국밥|매생이굴국밥,굴국밥:0.92|황태국밥:0.90|매생이굴국밥:0.88,ok,,
72,kimbap_triangle,삼각김밥,P1,1000,0,,,empty,,
73,convenience_lunchbox,도시락,P1,1000,0,,,empty,,
74,apple,사과,P0,1000,69,사과주스,사과주스:1.00,very_low,,
75,banana,바나나,P0,1000,526,바나나와플|바나나주스|바나나쉐이크|딸기바나나주스,바나나와플:0.91|바나나주스:0.91|바나나쉐이크:0.90|딸기바나나주스:0.89,ok,,
76,orange,귤/오렌지,P0,1000,249,오렌지에이드|청귤차|청귤에이드,오렌지에이드:0.90|청귤차:0.88|청귤에이드:0.87,low,,
77,grape,포도,P1,1000,78,청포도에이드,청포도에이드:0.90,very_low,,
78,strawberry,딸기,P1,1000,2621,딸기빙수|딸기주스|딸기크로플|딸기타르트|딸기케이크|딸기롤케잌|딸기마카롱|생딸기와플|딸기스무디|딸기에이드|딸기크로와상|딸기크레이프,딸기빙수:0.90|딸기주스:0.90|딸기크로플:0.89|딸기타르트:0.89|딸기케이크:0.89|딸기롤케잌:0.89|딸기마카롱:0.89|생딸기와플:0.89|딸기스무디:0.89|딸기에이드:0.89|딸기크로와상:0.88|딸기크레이프:0.88,ok,,
79,watermelon,수박,P1,1000,81,수박주스,수박주스:1.00,very_low,,
80,pear,배,P1,1000,830,꽈배기|해물뚝배기|찹쌀꽈배기,꽈배기:0.88|해물뚝배기:0.87|찹쌀꽈배기:0.87,ok,,
81,persimmon,감,P2,800,230,감바스,감바스:0.88,low,,
82,yogurt,요거트,P1,1000,81,플레인요거트스무디,플레인요거트스무디:0.92,very_low,,
83,milk,우유,P0,1000,730,우유식빵|우유마카롱|우유크림빵,우유식빵:0.90|우유마카롱:0.89|우유크림빵:0.89,ok,,
84,soy_milk,두유,P1,1000,0,,,empty,,
85,americano,아메리카노,P0,1000,303,아이스아메리카노|아메리카노(HOT)|아이스헤이즐넛아메리카노|헤이즐넛아메리카노(HOT),아이스아메리카노:0.91|아메리카노(HOT):0.90|아이스헤이즐넛아메리카노:0.89|헤이즐넛아메리카노(HOT):0.89,low,,
