class_id,class_key,name_ko,current_food_code,candidate_1_code,candidate_1_name,candidate_1_score,candidate_2_code,candidate_2_name,candidate_2_score,candidate_3_code,candidate_3_name,candidate_3_score
81,persimmon,감,,D709-408000000-0001,감자전,0.85,D706-260000000-0001,감자탕,0.85,D705-200000000-0001,감자국,0.85
82,yogurt,요거트,,D219-709000000-0159,빙수_요거트 빙수,0.90,D220-737000000-0526,스무디_망고요거트,0.85,D220-737000000-0484,스무디_딸기요거트,0.85
83,milk,우유,,D319-714010000-0001,우유_딸기,0.92,D502-133470000-0001,시리얼_우유,0.85,D107-317150000-0001,달걀찜_우유,0.85
84,soy_milk,두유,,D420-754000000-0001,두유 카페라떼,0.85,D420-754200000-0001,두유 카페라떼_시럽,0.71,D202-100000000-0025,식빵_밤콩달콩 두유 브레드,0.64
85,americano,아메리카노,,D320-748080000-0001,커피_아메리카노,1.00,D220-748080000-0028,커피_아메리카노,1.00,D220-748000000-0905,커피_아메리카노,1.00
86,latte,카페라떼,D420-762000000-0001,D420-762000000-0001,카페라떼,1.00,D420-754000000-0001,두유 카페라떼,1.00,D420-762200000-0001,카페라떼_시럽,1.00
87,juice,과일주스,,D320-716180000-0001,과ㆍ채주스_혼합과일 주스,0.85,D220-716000000-0233,과ㆍ채주스_생과일주스 딸기,0.82,D220-716000000-0112,과ㆍ채주스_키위 생과일 주스,0.82
88,soda,탄산음료,,D220-751000000-0008,탄산음료_슬림 청포도 탄산수,0.82,D220-751000000-0007,탄산음료_슬림 깔라만시 탄산수,0.79,D220-751000000-0005,탄산음료_쿨 라임 피지오 (Tall),0.73
89,ion_drink,이온음료,,D710-516000000-0001,베이컨채소볶음,0.36,D410-516000000-0001,베이컨채소볶음,0.36,D304-182000000-0001,미음,0.33
90,tofu,두부요리,,D709-420000000-0001,두부전,0.57,D705-280000000-0001,두부국,0.57,D609-420000000-0001,두부전,0.57
91,jeon_kimchi,김치전,D409-412000000-0001,D709-412000000-0001,김치전,1.00,D509-412000000-0001,김치전,1.00,D409-412000000-0001,김치전,1.00
92,jeon_pajeon,파전/해물파전,,D709-442000000-0001,해물파전,0.73,D609-442000000-0001,해물파전,0.73,D409-442000000-0001,해물파전,0.73
93,haemul_bokkeum,주꾸미/낙지볶음,,D610-493000000-0001,주꾸미볶음,0.77,D410-493000000-0001,주꾸미볶음,0.77,D310-493000000-0001,주꾸미볶음,0.77
94,raw_fish,회,,D427-762000000-0001,육회,1.00,D314-630000000-0001,물회,1.00,D127-762000000-0001,육회,1.00
95,gimbap_mayo,참치마요김밥,,D401-040000000-0001,참치덮밥,0.60,D701-007000000-0001,김밥,0.50,D501-007000000-0001,김밥,0.50
96,chicken_gangjeong,닭강정,D512-587000000-0001,D712-587000000-0001,닭강정,1.00,D612-587000000-0001,닭강정,1.00,D512-587000000-0001,닭강정,1.00
97,jjigae_cheonggukjang,청국장찌개,D106-297000000-0001,D406-297000000-0001,청국장찌개,1.00,D106-297000000-0001,청국장찌개,1.00,D706-321000000-0001,두부 청국장찌개,1.00
98,bibim_naengmyeon,비빔냉면,D403-192000000-0001,D703-192000000-0001,비빔냉면,1.00,D403-192000000-0001,비빔냉면,1.00,D303-144280000-0001,냉면_비빔냉면,1.00
99,fruit_cup,컵과일,,D714-608000000-0001,과일샐러드,0.50,D614-608000000-0001,과일샐러드,0.50,D514-608000000-0001,과일샐러드,0.50
